Aerospace,Autos,Basic Materials,Business Services,Conglomerates,Computer Tech,Consumer Discretionary,Consumer Staples,Construction,Finance,Industrial Products,Medical,Oils Energy,Retail Wholesale,Transportation,Utilities,,,Urgent,Watchlist,Badlist
AIR,ADNT,AA,ACN,CR,A,AAP,ABC,AAN,AAT,A,ABBV,AM,AAN,AAL,ADT,,,,,
AJRD,ALSN,ACH,ACTG,CSL,AAOI,ABG,ABEV,AAON,AB,AAOI,ABC,AMPY,AAP,AAWW,ADTN,,,,,
AVAV,ALV,ADM,ADP,DHR,AAPL,ACN,ADM,AAXN,ABCB,AAXN,ABEO,AMRC,ABG,ACCO,AEE,,,,,
BA,AUTO,AEM,ADS,FSS,ACIA,ADS,ADUS,AB,ABM,ABB,ABMD,APA,AEO,ADNT,AEP,,,,,
CAE,AXL,AG,ADSW,GE,ACIW,AEE,AEO,ABM,ABR,ABMD,ABT,AR,AMZN,AHC,AES,,,,,
CW,BWA,AGFS,APTV,GFF,ACLS,AEP,AGFS,ACA,ABTX,ACA,ABUS,ARLP,AN,AIR,AFYA,,,,,
DCO,CAAS,AGI,AQUA,HCHC,ACMR,AES,AGRO,ACM,ACC,ACCO,ACAD,AROC,ANF,AJRD,AGR,,,,,
ERJ,CARG,AKG,BAH,HON,ACTG,AFYA,AHC,ADSW,ACGL,ACIA,ACB,BCEI,ARCO,AL,AIRG,,,,,
FLIR,CMI,AKS,BBSI,IEP,ADBE,AGR,AMED,AEGN,ACRE,ACLS,ACGL,BE,ASNA,ALGT,AKTS,,,,,
GD,CNHI,ALB,BBU,ITT,ADI,AGS,ANF,AER,ADC,ACM,ACHC,BKEP,AZO,ALK,ALE,,,,,
HEI,CPS,AMPY,BCO,LDL,ADP,AIN,APRN,AFI,AEG,ACMR,ACIU,BKR,BABA,ALSN,ALLE,,,,,
HII,CTB,AMRS,BCOR,LXU,ADSK,AKAM,ARA,AGX,AEL,ADI,ACOR,BP,BBBY,ALV,ALSK,,,,,
HXL,CVGI,ANDE,BKI,MIC,ADTN,ALE,ARMK,AIMC,AER,ADT,ACRS,BPMP,BBW,AMC,AMCX,,,,,
KTOS,CYD,AP,BR,MMM,AEIS,AM,ASNA,AIT,AFG,AEIS,ACRX,BPT,BBY,ANDE,AMN,,,,,
LDOS,DAN,APA,CAR,RAVN,AGYS,AMC,AVY,AKS,AFL,AGCO,ADAP,BRY,BECN,ANTE,AMX,,,,,
LHX,DORM,APD,CATM,UTX,AIRG,AMCX,BCSF,AL,AGM,AIMC,ADMA,BSM,BGFV,APTV,ANGI,,,,,
LMT,F,AR,CBZ,,AKAM,AMWD,BGS,ALB,AGNC,AIN,ADMS,BTU,BIG,ARCB,ANTE,,,,,
NOC,FCAU,ARCH,CCO,,AKTS,AMZN,BKE,AMG,AGO,AIT,ADPT,CAPL,BJRI,ARCO,AOS,,,,,
PKE,FOXF,ARLP,CCRN,,ALLT,AN,BOOT,AMP,AHH,ALG,ADRO,CCLP,BKE,ARMK,APEI,,,,,
RADA,GM,ARNC,CDLX,,ALRM,AOBC,BREW,AMRC,AHT,ALGN,ADUS,CDEV,BKNG,ASC,ARC,,,,,
RTN,GNTX,ASH,CLCT,,ALTR,APEI,BRFS,AMRS,AI,ALLE,ADVM,CEIX,BLDR,ASR,ARLO,,,,,
SPR,GPC,ASIX,CLGX,,AMAT,APRN,BTI,AMWD,AIG,ALRM,AEG,CEO,BLMN,ATSG,ARTNA,,,,,
TDG,GT,ATI,CLH,,AMBA,AROC,BUD,AOBC,AINV,ALTR,AEL,CEQP,BMCH,AVAV,ASGN,,,,,
TDY,GTX,AU,CNDT,,AMD,ARTNA,BYND,APAM,AIV,AMAT,AERI,CKH,BOOT,AVD,ASPS,,,,,
TGI,HMC,AUY,CNET,,AME,AT,CAG,APD,AIZ,AMBA,AFG,CLB,BURL,AVH,AT,,,,,
TXT,HOG,AVD,CORE,,AMKR,ATGE,CAH,APO,AJG,AMCR,AFL,CLMT,CAKE,AXL,ATEX,,,,,
,HZN,AXTA,CPRT,,AMOT,ATO,CAL,APOG,AKR,AMD,AFMD,CLR,CARS,AYR,ATGE,,,,,
,IAA,AXU,CRAI,,AMSC,ATVI,CATO,AQUA,ALEX,AME,AGEN,CNQ,CASY,AZUL,ATNI,,,,,
,LCII,BBL,CRVL,,AMSWA,AVA,CATS,ARD,ALL,AMKR,AGIO,CNX,CATO,BA,ATO,,,,,
,LEA,BCEI,DBD,,AMX,AWK,CCEP,ARES,ALLY,AMOT,AGLE,CNXM,CBD,BCO,ATUS,,,,,
,LKQ,BCPC,DLPH,,ANET,AWR,CDNA,ARNC,AMBC,AMSC,AGN,COG,CBRL,BEST,AUDC,,,,,
,MGA,BG,DLX,,ANGI,AY,CDZI,ASH,AMG,ANGO,AGO,COP,CHS,BIP,AVA,,,,,
,MLR,BGS,DOCU,,ANSS,AZO,CELH,ASIX,AMH,ANIK,AGRX,CPE,CHUY,BJRI,AVYA,,,,,
,MOD,BHP,ECOL,,AOSL,BABA,CHD,ATI,AMNB,AOS,AGTC,CPG,CMG,BKNG,AWK,,,,,
,MPAA,BKEP,EFX,,APH,BBBY,CHE,ATR,AMP,AOSL,AIG,CQP,CNXN,BLMN,AWR,,,,,
,MTOR,BKR,ENV,,APPF,BBW,CHEF,AWI,AMSF,AP,AIMT,CRC,CONN,BRFS,AY,,,,,
,NAV,BP,ESTC,,APPN,BBY,CHS,AXTA,AMT,APH,AIZ,CRK,COST,BTI,AYI,,,,,
,NIO,BPMP,EVOP,,APPS,BC,CHWY,AYI,AMTD,APOG,AJG,CSIQ,CPRI,BWA,AZZ,,,,,
,OSK,BPT,EVRI,,ARLO,BFAM,CL,AYR,ANAT,APT,AKBA,CTRA,CRMT,CAAS,BATRA,,,,,
,PCAR,BRY,EVTC,,ARW,BGFV,CLBS,B,ANH,APY,AKCA,CVA,CTRC,CAI,BATRK,,,,,
,PII,BSM,EXLS,,ASGN,BIG,CLW,BBDC,AON,APYX,AKRO,CVE,CTRN,CAKE,BBSI,,,,,
,PLOW,BTE,EXPO,,ASML,BJ,CLX,BBU,APAM,ARAY,AKRX,CVI,CVNA,CAR,BCE,,,,,
,RACE,BTG,FC,,ASUR,BKH,CO,BCC,APLE,ARC,ALBO,CVX,CVS,CBRL,BIP,,,,,
,SMP,BTU,FCN,,ASYS,BNED,COLM,BCPC,APO,ARD,ALC,CWEN,DBI,CCL,BKD,,,,,
,SOLO,BVN,FDS,,ATEN,BR,COT,BDC,APTS,ARW,ALDX,CXO,DDS,CF,BKH,,,,,
,SORL,BYND,FIS,,ATEX,BSET,COTY,BECN,ARCC,ASML,ALEC,DCP,DENN,CHDN,CALX,,,,,
,SPAR,CAG,FISV,,ATHM,BSQR,CPB,BEN,ARE,ASTE,ALGN,DK,DG,CHRW,CAMP,,,,,
,SPXC,CALM,FLNT,,ATUS,BTN,CPRI,BERY,ARES,ASYS,ALKS,DKL,DIN,CHUY,CASA,,,,,
,SUP,CAPL,FLT,,ATVI,BURL,CRESY,BLD,ARI,ATEC,ALL,DMLP,DKS,CKH,CBB,,,,,
,TEN,CBT,G,,AUDC,BV,CRI,BLDR,AROW,ATKR,ALLK,DNOW,DLTR,CLAR,CCO,,,,,
,THRM,CC,GCI,,AUTO,BYD,CROX,BLL,ARR,ATOS,ALLO,DO,DNKN,CLUB,CCOI,,,,,
,TM,CCJ,GDOT,,AVGO,BZUN,CSV,BMCH,ASA,ATR,ALNY,DRQ,DPZ,CMG,CCRN,,,,,
,TSLA,CCLP,GDS,,AVID,CASA,CTAS,BOOM,ASB,ATRC,ALT,DVN,DRI,CMPR,CEL,,,,,
,TTM,CDE,GFN,,AVLR,CASS,CTRC,BSET,ASFI,ATRS,ALXN,DWSN,EAT,CMRE,CETV,,,,,
,VC,CDEV,GPN,,AVT,CASY,CTRN,BW,ASPS,AVGO,AMAG,E,EBAY,CNI,CHGG,,,,,
,VNE,CE,GSKY,,AVX,CATM,CTVA,BX,ASRV,AVNS,AMBC,EC,ETH,CNK,CHL,,,,,
,WBC,CEIX,GSX,,AVYA,CBD,CVGW,BXC,ATAX,AVT,AMED,EGY,EXPE,CNNE,CHT,,,,,
,WKHS,CENX,HCKT,,AWRE,CBZ,DAR,BZH,ATH,AVTR,AMGN,ENB,EXPR,CP,CHTR,,,,,
,WNC,CEO,HCSG,,AXE,CCL,DBI,CAI,ATLC,AVX,AMN,ENBL,FAST,CPA,CHU,,,,,
,WPRT,CF,HIL,,AXTI,CDK,DECK,CBT,AUB,AVY,AMPH,ENIA,FIVE,CPLP,CIEN,,,,,
,XPEL,CIR,HMHC,,AYX,CDW,DEO,CC,AVB,AXDX,AMRN,ENLC,FL,CPS,CIG,,,,,
,,CLB,HMI,,AZPN,CDZI,DGX,CCK,AX,AXE,AMRX,ENPH,FLWS,CSX,CLFD,,,,,
,,CLF,HNI,,BAND,CENT,DLTH,CCS,AXP,AXGN,AMSF,EOG,FOSL,CUK,CLNE,,,,,
,,CLMT,HSII,,BB,CENTA,DTEA,CDXS,AXS,AXNX,ANAB,EPD,FRGI,CVGI,CMCSA,,,,,
,,CLR,HURN,,BCOV,CEQP,DVA,CE,BAC,AXTI,ANAT,EPM,FTCH,CVTI,CMS,,,,,
,,CLW,ICFI,,BELFB,CETV,EL,CECE,BAH,AZZ,ANGO,EQM,FVRR,CYRX,CMTL,,,,,
,,CMC,ICLK,,BHE,CHDN,ELF,CG,BAM,B,ANIK,EQNR,GCO,DAC,CNP,,,,,
,,CMP,INFO,,BIDU,CHEF,ENR,CHD,BANC,BAX,ANIP,EQT,GME,DAL,CNSL,,,,,
,,CNQ,INWK,,BILI,CHH,ENZ,CIR,BANR,BC,ANTM,ERF,GMS,DAN,COMM,,,,,
,,CNX,IPG,,BITA,CHTR,EPC,CL,BAP,BDC,AON,ET,GNC,DCO,CPK,,,,,
,,COG,IQV,,BKI,CHWY,EXPR,CLH,BATRA,BDX,APHA,ETRN,GOOS,DENN,CRAI,,,,,
,,COP,IT,,BL,CIG,FDP,CLX,BATRK,BE,APLS,EVA,GPI,DESP,CRNT,,,,,
,,CPB,KELYA,,BLDP,CLAR,FIZZ,CMC,BBAR,BELFB,APTO,EVRG,GPS,DHT,CRTO,,,,,
,,CPE,KFRC,,BLKB,CLCT,FL,CNR,BBD,BERY,APYX,EXTN,GRPN,DIN,CSU,,,,,
,,CPG,KFY,,BLNK,CLNE,FLO,CNS,BBDC,BGG,AQST,FANG,GTIM,DLNG,CSV,,,,,
,,CRC,KNL,,BMI,CLUB,FMS,CODI,BBVA,BIO,ARA,FCEL,HABT,DLPH,CTL,,,,,
,,CRK,LOOP,,BNFT,CMCSA,FMX,COTY,BCBP,BLDP,ARAV,FF,HBP,DLX,CWCO,,,,,
,,CRS,LQDT,,BOX,CMPR,FPAC,CR,BCOR,BLFS,ARAY,FI,HD,DNKN,CWT,,,,,
,,CSTM,MA,,BRKR,CMS,FRPT,CRH,BCS,BLL,ARCT,FSLR,HIBB,DORM,D,,,,,
,,CTRA,MAN,,BRKS,CNDT,GCO,CROX,BCSF,BLNK,ARDX,FTI,HLF,DRI,DFIN,,,,,
,,CVE,MDCA,,BSQR,CNK,GES,CRS,BDGE,BMI,ARGX,FTK,HOME,DSKE,DGLY,,,,,
,,CVI,MLHR,,BW,CNP,GH,CSL,BDN,BOOM,ARNA,FTSI,HVT,DSX,DIS,,,,,
,,CVIA,MMS,,BWXT,CNTY,GIII,CSTE,BEN,BRC,ARVN,GEL,HZO,EAT,DISCA,,,,,
,,CVX,MORN,,BZUN,CNXM,GIL,CSTM,BGCP,BRKR,ARWR,GIFI,IAC,EBF,DISCK,,,,,
,,CXDC,NCMI,,CACI,CNXN,GIS,CTB,BHF,BRKS,ASMB,GLP,IMKTA,ECHO,DISH,,,,,
,,CXO,NLSN,,CAJ,CONN,GLT,CTT,BHLB,BSGM,ASND,GMLP,JACK,EGLE,DTE,,,,,
